latt,temp,ML_baseline
fcc,100,1.0
fcc,200,1.0
fcc,300,1.0
fcc,400,1.0
fcc,500,1.0
fcc,600,0.999519980799232
fcc,700,0.9978399135965439
fcc,800,0.9903996159846394
fcc,900,0.9753990159606384
fcc,1000,0.922716908676347
fcc,1100,0.8171126845073803
hcp,100,1.0
hcp,200,1.0
hcp,300,1.0
hcp,400,1.0
hcp,500,1.0
hcp,600,1.0
hcp,700,0.9992799711988479
hcp,800,0.9979599183967359
hcp,900,0.9965198607944318
hcp,1000,0.9942397695907836
hcp,1100,0.9902796111844474
hcp,1200,0.984039361574463
hcp,1300,0.9749189967598704
hcp,1400,0.968678747149886
hcp,1500,0.9645985839433577
hcp,1600,0.9456378255130206
hcp,1700,0.9438377535101404
hcp,1800,0.9319572782911316
hcp,1900,0.9258370334813393
hcp,2000,0.905076203048122
hcp,2100,0.8977559102364094
hcp,2200,0.8881555262210489
bcc,100,1.0
bcc,200,1.0
bcc,300,1.0
bcc,400,1.0
bcc,500,1.0
bcc,600,1.0
bcc,700,1.0
bcc,800,1.0
bcc,900,0.999879995199808
bcc,1000,0.9997599903996159
bcc,1100,0.9991599663986559
bcc,1200,0.9975999039961598
bcc,1300,0.9936397455898236
bcc,1400,0.9870394815792631
bcc,1500,0.9709588383535341
bcc,1600,0.9497179887195488
bcc,1700,0.9146765870634825
bcc,1800,0.8774750990039601
bcc,1900,0.7797911916476659
bcc,2000,0.6671066842673707
hd,20,1.0
hd,40,1.0
hd,60,1.0
hd,80,1.0
hd,100,0.999879995199808
hd,120,0.9997599903996159
hd,140,0.999519980799232
hd,160,0.9987999519980799
hd,180,0.9983199327973119
hd,200,0.9978399135965439
hd,220,0.9969998799951998
hd,240,0.9939997599903996
hd,260,0.9942397695907836
hd,280,0.9884795391815673
hd,300,0.9870394815792631
hd,320,0.9863194527781112
hd,340,0.9818792751710068
cd,100,1.0
cd,200,1.0
cd,300,1.0
cd,400,1.0
cd,500,1.0
cd,600,1.0
cd,700,1.0
cd,800,1.0
cd,900,1.0
cd,1000,1.0
cd,1100,0.999639985599424
cd,1200,0.999519980799232
cd,1300,0.999039961598464
cd,1400,0.9983199327973119
cd,1500,0.9950798031921276
cd,1600,0.9908796351854074
cd,1700,0.9821192847713909
cd,1800,0.9747989919596783
cd,1900,0.9474378975159007
cd,2000,0.921996879875195
sc,100,1.0
sc,200,1.0
sc,300,1.0
sc,400,1.0
sc,500,1.0
sc,600,1.0
sc,700,1.0
sc,800,1.0
sc,900,1.0
sc,1000,1.0
sc,1100,0.999639985599424
sc,1200,0.9984399375975039
